policy,fault,seed,l6_score_clean,l6_score_faulted,l6_shift,l6_threshold,l6_headroom,l6_shift_over_headroom,could_fire
P2,speed_bias,20260732,4.4965953992696805,4.180832255944991,0.31576314332468947,5.418331177417319,0.9217357781476387,0.3425744674458239,False
P2,speed_bias,20260733,5.6240527366345665,4.4719363827051435,1.152116353929423,5.408196102502639,-0.2158566341319279,nan,True
P2,speed_bias,20260734,5.555243047410046,4.482858436803164,1.072384610606882,5.418057256473681,-0.13718579093636496,nan,True
P2,speed_bias,20260735,5.545962255428066,4.492356075748618,1.0536061796794476,5.4197007821355205,-0.1262614732925451,nan,True
P2,speed_bias,20260736,5.493594934373237,4.481155590915272,1.0124393434579657,5.410661390995399,-0.08293354337783843,nan,True
P2,speed_bias,20260737,5.566280412852985,4.494970084609187,1.071310328243798,5.413948442319079,-0.1523319705339059,nan,True
P2,speed_bias,20260738,5.166255725232572,4.258341080053691,0.9079146451788809,5.410661390995399,0.24440566576282663,3.7147855895449213,True
P2,speed_bias,20260739,4.773245174728476,4.147583049337047,0.625662125391429,5.42271391251556,0.6494687377870836,0.9633444829434435,False
P2,speed_bias,20260740,4.7893325626728025,4.4530542270683044,0.33627833560449805,5.406278655897158,0.6169460932243558,0.545069235866299,False
P2,lateral_noise,20260731,4.47754456726936,5.561895636189881,1.0843510689205207,5.4161398098682,0.93859524259884,1.1552914607984834,True
P2,lateral_noise,20260732,4.4965953992696805,5.223543553179013,0.7269481539093325,5.4144962842063595,0.917900884936679,0.7919680281814749,False
P2,lateral_noise,20260733,5.6240527366345665,6.101966296975218,0.47791356034065124,5.41696157269912,-0.2070911639354467,nan,True
P2,lateral_noise,20260734,5.555243047410046,5.235081758296231,0.32016128911381436,5.412578837600879,-0.1426642098091664,nan,True
P2,lateral_noise,20260735,5.545962255428066,5.211365973309612,0.3345962821184534,5.413126679488159,-0.13283557593990647,nan,True
P2,lateral_noise,20260736,5.493594934373237,5.245821587407172,0.24777334696606523,5.410113549108119,-0.08348138526511839,nan,True
P2,lateral_noise,20260737,5.566280412852985,4.454554918081207,1.1117254947717772,5.41367452137544,-0.15260589147754455,nan,True
P2,lateral_noise,20260738,5.166255725232572,5.460746858148671,0.2944911329160984,5.4150441260936395,0.24878840086106724,1.1837012171662828,True
P2,lateral_noise,20260739,4.773245174728476,3.952153818440105,0.8210913562883713,5.414770205149999,0.6415250304215228,1.2799054087552313,True
P2,lateral_noise,20260740,4.7893325626728025,3.261548684813842,1.5277838778589605,5.4155919679809195,0.626259405308117,2.4395384163648566,True
P3,imu_dropout,20260731,3.3927087339501067,3.39665510604289,0.003946372092783257,5.402717683629837,2.0100089496797304,0.001963360458376099,False
P3,imu_dropout,20260732,3.388345691744722,3.4040334012340407,0.015687709489318635,5.41120923288268,2.0228635411379576,0.007755199087968904,False
P3,imu_dropout,20260733,3.376848410450094,3.385080208170061,0.008231797719966849,5.411483153826319,2.034634743376225,0.004045835620749893,False
P3,imu_dropout,20260734,3.3774112482619127,3.382898719954124,0.005487471692211088,5.414770205150001,2.037358956888088,0.002693424088896336,False
P3,imu_dropout,20260735,3.3800772028813033,3.389717905680753,0.00964070279944984,5.404361209291678,2.0242840064103746,0.0047625248082385045,False
P3,imu_dropout,20260736,3.384929446500751,3.384799345573632,0.00013010092711907006,5.408470023446277,2.023540576945526,6.429370806858418e-05,False
P3,imu_dropout,20260737,3.3843647037555917,3.3840193537817056,0.0003453499738861332,5.429835857050202,2.0454711532946104,0.00016883639416272533,False
P3,imu_dropout,20260738,3.3854317721470433,3.3929291332600204,0.007497361112977163,5.4144962842063595,2.0290645120593163,0.0036949841015000663,False
P3,imu_dropout,20260739,3.3765602823648133,3.3771506216775196,0.0005903393127062451,5.428192331388361,2.051632049023548,0.00028774131939848113,False
P3,imu_dropout,20260740,3.3861508808385707,3.3853029879413747,0.0008478928971960009,5.41285275854452,2.026701877705949,0.00041836093730556086,False
P3,speed_stuck,20260731,3.3927087339501067,3.395160638261956,0.0024519043118491624,5.410113549108119,2.017404815158012,0.0012153754632815816,False
P3,speed_stuck,20260732,3.388345691744722,3.3895329029601875,0.001187211215465389,5.429835857050202,2.04149016530548,0.0005815414816302775,False
P3,speed_stuck,20260733,3.376848410450094,3.3758406829948457,0.0010077274552484639,5.429835857050202,2.052987446600108,0.0004908590439348919,False
P3,speed_stuck,20260734,3.3774112482619127,3.376241543062548,0.0011697051993646568,5.424083517233761,2.0466722689718484,0.0005715156339868041,False
P3,speed_stuck,20260735,3.3800772028813033,3.3795785539925545,0.0004986488887488427,5.429835857050202,2.049758654168899,0.00024327200069855365,False
P3,speed_stuck,20260736,3.384929446500751,3.385479009559649,0.0005495630588980838,5.427370568557442,2.0424411220566907,0.0002690716774957442,False
P3,speed_stuck,20260737,3.3843647037555917,3.3851020122351416,0.0007373084795498919,5.429835857050202,2.0454711532946104,0.00036045899662887933,False
P3,speed_stuck,20260738,3.3854317721470433,3.38604253872535,0.0006107665783066096,5.429835857050202,2.044404084903159,0.00029875041965372564,False
P3,speed_stuck,20260739,3.3765602823648133,3.375413789771004,0.0011464925938091675,5.429835857050202,2.053275574685389,0.0005583724892772065,False
P3,speed_stuck,20260740,3.3861508808385707,3.3872170249843787,0.001066144145807968,5.4276444895010805,2.0414936086625097,0.0005222373174640773,False
P3,speed_bias,20260731,3.3927087339501067,3.37708647221444,0.015622261735666942,5.409565707220838,2.0168569732707313,0.007745845115795377,False
P3,speed_bias,20260732,3.388345691744722,3.3759771239665533,0.01236856777816886,5.429835857050202,2.04149016530548,0.006058597777431898,False
