seed,policy,fault,severity,stage,metric,D_s,A_f,unique_absorption,veto_rate,mean_speed,validity,invalid_reason,git_commit
20260732,P1,position_drift,2.0 m final,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.020000,10.9064,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,position_drift,2.0 m final,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.020000,10.9064,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,position_drift,2.0 m final,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.020000,10.9064,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,position_drift,2.0 m final,L6,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.020000,10.9064,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,position_drift,2.0 m final,L7,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.020000,10.9064,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,position_drift,2.0 m final,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.020000,10.9064,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,speed_stuck,hold,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.722500,L2a,True,0.020000,10.9351,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,speed_stuck,hold,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.559813,L2a,True,0.020000,10.9351,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,speed_stuck,hold,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.525038,L2a,True,0.020000,10.9351,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,speed_stuck,hold,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.558050,L2a,True,0.020000,10.9351,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,speed_stuck,hold,L6,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.516988,L2a,True,0.020000,10.9351,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,speed_stuck,hold,L7,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.020000,10.9351,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,speed_stuck,hold,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.020000,10.9351,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,speed_bias,3.0 m/s,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",1.000000,L2a,False,0.020000,10.5538,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,speed_bias,3.0 m/s,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.513050,L2a,False,0.020000,10.5538,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,speed_bias,3.0 m/s,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.659525,L2a,False,0.020000,10.5538,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,speed_bias,3.0 m/s,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.508787,L2a,False,0.020000,10.5538,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,speed_bias,3.0 m/s,L6,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.631575,L2a,False,0.020000,10.5538,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,speed_bias,3.0 m/s,L7,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,False,0.020000,10.5538,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,speed_bias,3.0 m/s,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,False,0.020000,10.5538,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,lateral_noise,sigma x25,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.995275,,False,0.370000,8.9934,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,lateral_noise,sigma x25,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.982775,,False,0.370000,8.9934,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,lateral_noise,sigma x25,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.968750,,False,0.370000,8.9934,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,lateral_noise,sigma x25,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.982775,,False,0.370000,8.9934,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,lateral_noise,sigma x25,L6,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.836650,,False,0.370000,8.9934,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,lateral_noise,sigma x25,L7,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.850000,,False,0.370000,8.9934,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,lateral_noise,sigma x25,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.807500,,False,0.370000,8.9934,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,imu_dropout,suppress IMU,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.997500,L7,False,0.015000,8.0528,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,imu_dropout,suppress IMU,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.703350,L7,False,0.015000,8.0528,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,imu_dropout,suppress IMU,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.955375,L7,False,0.015000,8.0528,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,imu_dropout,suppress IMU,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.705700,L7,False,0.015000,8.0528,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,imu_dropout,suppress IMU,L6,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.632825,L7,False,0.015000,8.0528,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,imu_dropout,suppress IMU,L7,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.502500,L7,False,0.015000,8.0528,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,imu_dropout,suppress IMU,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.987500,L7,False,0.015000,8.0528,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,position_bias,1.0 m,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",1.000000,L2a,True,0.017500,13.4949,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,position_bias,1.0 m,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.017500,13.4949,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,position_bias,1.0 m,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.017500,13.4949,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,position_bias,1.0 m,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.017500,13.4949,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,position_bias,1.0 m,L6,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.017500,13.4949,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,position_bias,1.0 m,L7,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.017500,13.4949,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,position_bias,1.0 m,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.017500,13.4949,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,position_drift,2.0 m final,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.961838,L2a,True,0.017500,13.4949,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,position_drift,2.0 m final,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.017500,13.4949,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
