policy,fault,severity,stage,n,mean,median,sd,ci_lo,ci_hi,min,max,validity
P2,lateral_noise,sigma x25,L8,30,0.570500,0.500000,0.120456,0.500000,0.540000,0.500000,0.882500,VALID
P3,imu_dropout,suppress IMU,L1,30,0.997500,0.997500,0.000000,0.997500,0.997500,0.997500,0.997500,VALID
P3,imu_dropout,suppress IMU,L2a,30,0.763319,0.802650,0.128767,0.691975,0.831150,0.543900,0.999300,VALID
P3,imu_dropout,suppress IMU,L2b,30,0.678571,0.633563,0.152876,0.571975,0.720625,0.500300,0.983100,VALID
P3,imu_dropout,suppress IMU,L3,30,0.763251,0.802631,0.128837,0.690937,0.831163,0.543813,0.999300,VALID
P3,imu_dropout,suppress IMU,L6,30,0.707269,0.709200,0.154381,0.594650,0.774775,0.503300,0.999500,VALID
P3,imu_dropout,suppress IMU,L7,30,0.507250,0.500000,0.016846,0.500000,0.502500,0.500000,0.570000,VALID
P3,imu_dropout,suppress IMU,L8,30,0.987500,0.987500,0.000000,0.987500,0.987500,0.987500,0.987500,VALID
P3,position_bias,1.0 m,L1,30,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,INVALID
P3,position_bias,1.0 m,L2a,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P3,position_bias,1.0 m,L2b,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P3,position_bias,1.0 m,L3,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P3,position_bias,1.0 m,L6,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P3,position_bias,1.0 m,L7,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P3,position_bias,1.0 m,L8,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P3,position_drift,2.0 m final,L1,30,0.969682,0.970850,0.010430,0.968762,0.974087,0.938462,0.985062,INVALID
P3,position_drift,2.0 m final,L2a,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P3,position_drift,2.0 m final,L2b,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P3,position_drift,2.0 m final,L3,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P3,position_drift,2.0 m final,L6,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P3,position_drift,2.0 m final,L7,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P3,position_drift,2.0 m final,L8,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P3,speed_stuck,hold,L1,30,0.971833,0.987500,0.044581,0.977500,0.992500,0.777500,0.997500,VALID
P3,speed_stuck,hold,L2a,30,0.559132,0.558612,0.006981,0.554737,0.561087,0.546913,0.574912,VALID
P3,speed_stuck,hold,L2b,30,0.518558,0.508738,0.024224,0.504463,0.513688,0.500112,0.589213,VALID
P3,speed_stuck,hold,L3,30,0.558195,0.557588,0.007136,0.554344,0.560775,0.545150,0.574175,VALID
P3,speed_stuck,hold,L6,30,0.643697,0.630425,0.065647,0.614113,0.663188,0.515837,0.806137,VALID
P3,speed_stuck,hold,L7,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,VALID
P3,speed_stuck,hold,L8,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,VALID
P3,speed_bias,3.0 m/s,L1,30,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,VALID
P3,speed_bias,3.0 m/s,L2a,30,0.519509,0.513175,0.015766,0.508625,0.525550,0.500100,0.552000,VALID
P3,speed_bias,3.0 m/s,L2b,30,0.667500,0.620888,0.122044,0.589900,0.698000,0.504650,0.899900,VALID
P3,speed_bias,3.0 m/s,L3,30,0.515368,0.508331,0.014411,0.504725,0.521875,0.500275,0.545737,VALID
P3,speed_bias,3.0 m/s,L6,30,0.884515,0.962950,0.145779,0.901125,0.972475,0.571450,0.995125,VALID
P3,speed_bias,3.0 m/s,L7,30,0.500083,0.500000,0.000456,0.500000,0.500000,0.500000,0.502500,VALID
P3,speed_bias,3.0 m/s,L8,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,VALID
P3,lateral_noise,sigma x25,L1,30,0.999546,1.000000,0.000819,0.999183,1.000000,0.996475,1.000000,VALID
P3,lateral_noise,sigma x25,L2a,30,0.979107,0.979863,0.007286,0.977800,0.982425,0.958225,0.988775,VALID
P3,lateral_noise,sigma x25,L2b,30,0.898191,0.900850,0.060790,0.876525,0.932125,0.752938,0.983725,VALID
P3,lateral_noise,sigma x25,L3,30,0.979129,0.980075,0.007268,0.977869,0.982463,0.958175,0.988712,VALID
P3,lateral_noise,sigma x25,L6,30,0.981552,0.988363,0.020691,0.980025,0.994175,0.916925,0.999675,VALID
P3,lateral_noise,sigma x25,L7,30,0.800583,0.765000,0.096690,0.741250,0.795000,0.685000,0.987500,VALID
P3,lateral_noise,sigma x25,L8,30,0.784250,0.845000,0.147752,0.690000,0.881250,0.500000,0.977500,VALID
