seed,policy,fault,severity,A_f,unique_absorption,threshold_crossings,veto_rate,mean_speed,failure_status,validity
20260748,P1,position_drift,2.0 m final,L2a,True,1,0.017500,11.3016,ok,INVALID
20260748,P1,speed_stuck,hold,L2a,True,1,0.020000,11.3230,ok,VALID
20260748,P1,speed_bias,3.0 m/s,L2a,False,5,0.017500,10.9488,ok,VALID
20260748,P1,lateral_noise,sigma x25,L8,True,1,0.217500,9.5789,ok,VALID
20260749,P1,imu_dropout,suppress IMU,L7,False,2,0.092500,7.2335,ok,VALID
20260749,P1,position_bias,1.0 m,L2a,True,1,0.060000,12.4356,ok,INVALID
20260749,P1,position_drift,2.0 m final,L2a,True,1,0.060000,12.4356,ok,INVALID
20260749,P1,speed_stuck,hold,L2a,True,1,0.060000,12.4402,ok,VALID
20260749,P1,speed_bias,3.0 m/s,L2a,False,3,0.060000,12.0665,ok,VALID
20260749,P1,lateral_noise,sigma x25,,False,0,0.277500,10.7824,ok,VALID
20260750,P1,imu_dropout,suppress IMU,L7,False,2,0.075000,5.9016,ok,VALID
20260750,P1,position_bias,1.0 m,L2a,True,1,0.015000,10.5348,ok,INVALID
20260750,P1,position_drift,2.0 m final,L2a,True,1,0.015000,10.5348,ok,INVALID
20260750,P1,speed_stuck,hold,L2a,True,1,0.017500,10.5725,ok,VALID
20260750,P1,speed_bias,3.0 m/s,L2a,False,5,0.012500,10.1918,ok,VALID
20260750,P1,lateral_noise,sigma x25,L6,False,2,0.292500,8.3298,ok,VALID
20260751,P1,imu_dropout,suppress IMU,L2a,False,2,0.070000,5.9380,ok,VALID
20260751,P1,position_bias,1.0 m,L2a,True,1,0.067500,10.5283,ok,INVALID
20260751,P1,position_drift,2.0 m final,L2a,True,1,0.067500,10.5283,ok,INVALID
20260751,P1,speed_stuck,hold,L2a,True,1,0.067500,10.5677,ok,VALID
20260751,P1,speed_bias,3.0 m/s,L2a,False,5,0.067500,10.1810,ok,VALID
20260751,P1,lateral_noise,sigma x25,L8,True,1,0.257500,8.8799,ok,VALID
20260752,P1,imu_dropout,suppress IMU,L7,False,2,0.082500,8.1717,ok,VALID
20260752,P1,position_bias,1.0 m,L2a,True,1,0.027500,13.5957,ok,INVALID
20260752,P1,position_drift,2.0 m final,L2a,True,1,0.027500,13.5957,ok,INVALID
