experiment_id,git_commit,config_hash,calibration_version,policy,seed,condition,calibration_window,threshold,evaluation_n,alarm_count,run_far,in_band,eval_mean,eval_sd,threshold_margin
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261003,clean,ticks 201-400 pooled,3.395305537817987,200,4,0.02,False,3.379989480211573,0.004160386549664093,-0.01531605760641419
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261004,clean,ticks 201-400 pooled,3.395305537817987,200,2,0.01,False,3.383769110550814,0.002918403390715512,-0.011536427267173188
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261005,clean,ticks 201-400 pooled,3.395305537817987,200,0,0.0,False,3.3821072005954482,0.0023264884833557255,-0.013198337222538825
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261006,clean,ticks 201-400 pooled,3.395305537817987,200,1,0.005,False,3.3848588814138116,0.002361391104487577,-0.010446656404175414
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261007,clean,ticks 201-400 pooled,3.395305537817987,200,1,0.005,False,3.376459128255757,0.003688580376282509,-0.01884640956223027
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261008,clean,ticks 201-400 pooled,3.395305537817987,200,1,0.005,False,3.376145934678767,0.00336969921114393,-0.01915960313922005
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261009,clean,ticks 201-400 pooled,3.395305537817987,200,1,0.005,False,3.381516326969719,0.0028375658186779425,-0.01378921084826823
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261010,clean,ticks 201-400 pooled,3.395305537817987,200,93,0.465,False,3.39557392798921,0.003348103767739988,0.000268390171223043
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261011,clean,ticks 201-400 pooled,3.395305537817987,200,48,0.24,False,3.3933595889863866,0.003269156958285041,-0.0019459488316004858
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261012,clean,ticks 201-400 pooled,3.395305537817987,200,4,0.02,False,3.3824605701358657,0.0037327585975053144,-0.0128449676821214
